entertainment n.娱乐（活动）；招待
correspond v.相符；一致；相当；通信
exam n.考试；体检
deadly adj.致命的；极度的，彻底的
try v.尝试；努力；审判
sir n.先生；阁下
attractive adj.吸引人的；迷人的
thief n.小偷
ignore v.不理睬；忽视
year n.年；一年时间；年级；年龄
invitation n.邀请；请柬
guidance n.引导，指导
equip v.配备，装备；使有所准备
delete v.删除
mathematical adj.数学的；数学般精确的
slogan n.标题，口号；广告语
cassette n.磁带
housewife n.家庭主妇
enter v.进入；加入；报名参加；输入
provoke v.引起；激怒，刺激
drastic adj.激烈的；严厉的；极端的
library n.图书馆；资料室；系列丛书
hearing n.听力，听觉；听证会；申辩的机会
chance n.可能性，机会；偶然；冒险
soluble adj.可溶的；可解决的
enough adj.充足的；足够的
consequently adv.因此，所以
troop n.军队；部队；一群；一队
sociology n.社会学
citizen n.公民；市民
dialog n.对话，对白
suffice v.足够；足以
peer n.同辈；同等地位的人
timid adj.羞怯的，缺乏勇气的
surpass v.超过；强过
arbitrary adj.任意的；武断的；专横的
swallow v.吞下，咽下；吞没；轻信
chart n.图表
expectation n.预期；期待；预计；期望
especially adv.尤其；特地；非常
distill v.蒸馏；提炼
bad adj.坏的；不擅长；严重的；不合适的
tongue n.舌头；语言；说话方式
organism n.有机体，生物；有机组织
wall n.墙；屏障
tilt v.（使）倾斜，倾侧；偏向
fertile adj.肥沃的，富饶的；能生育的
overcome v.克服；战胜；受到极大影响
goose n.鹅；鹅肉；傻瓜
destroy v.摧毁；毁掉（某人）；杀死（动物等）
accept v.接受；认可；承担；相信；忍受
scientific adj.科学（上）的；细致严谨的
owing to phrase.由于，因为
emperor n.皇帝
pig n.猪，令人不快的人
judge v.评价；判断；审理；（担任）裁判；估计
spin v.（使快速）旋转；（使）急转身；纺（线）
dip v.浸，蘸；浏览；下降，下沉
extreme adj.极度的；严重的；偏激的；不寻常的；（运动）极限的
boycott v.抵制
enlarge v.扩大；放大
into prep.进入；朝，向；成为…状况
destination n.目的地；终点
tourist n.游客；观光者
impetus n.推动（力）；促进
very adj.恰好的；极端的；唯独的
insult n.侮辱，辱骂
linear adj.直线的；线状的；长度的
glide v.滑翔，滑动，滑行
slipper n.便鞋；拖鞋
negligible adj.微不足道的，不值一提的
turmoil n.混乱；骚动
stalk v.跟踪；偷偷接近；骚扰；（怒气冲冲或趾高气昂地）走
unique adj.独一无二的；独特的；特有的
start v.开始；发动；出发；开办；从…起步
glare n.怒视；强光
lame adj.跛的；无说服力的
wholesome adj.有益健康的；有道德的
knowledge n.知识；知情
shallow adj.浅的；肤浅的
deceive v.欺骗，蒙骗，误导
order n.顺序；命令；订单；条理；决议
new adj.新的；初来乍到的
witness n.目击者；证人；见证人
timely adj.及时的；适时的
strand n.股，缕；部分；岸
further adv.更远地；更久远地；进一步地；此外
ward n.病房；选区；受监护人
escort n.护卫者；女伴
population n.人口（数量）；种群
possess v.具有（特质）；持有；支配
mouth n.嘴；入口；河口
numerical adj.数字的；用数字表示的
run v.奔跑；赛跑；迅速赶往；经营；操作；流淌；变成
gossip n.流言蜚语；闲聊；爱说长道短的人
disclose v.泄漏；透露；揭露
menace n.威胁；危险的人（或物）
collection n.收藏品；收集；一群；取走；作品集
kite n.风筝
skin n.皮；外壳
period n.一段时间；阶段；句号；例假
night n.夜晚
mushroom n.蘑菇
virtue n.德行；美德；优点
pastime n.消遣，娱乐
torture v.拷问；拷打；使痛苦
grown-up adj.成长的；适合成人的
volume n.体积，容量；音量；（书）卷，册
dispose v.安排，布置；使倾向于；扔掉
devil n.魔鬼；恶魔；淘气鬼；家伙
beef n.牛肉；抱怨
annual adj.全年的，年度的，每年的
kilogram n.千克；公斤
lucrative adj.赚大钱的；获利多的
basic adj.基本的；基础的；必需的
no int.不，没有
way n.方法；路；作风
vulgar adj.粗俗的；粗鲁的
familiar adj.熟悉的
pure adj.纯净的，纯粹的；完全的；纯真的
irritate v.激怒，使烦恼；刺激（皮肤或身体部位）
critical adj.批判的；至关重要的；危急的
fulfill v.完成；实现，履行
assemble v.（使）聚集；召集；装配
strict adj.严格的；严厉的
job n.工作，职业；任务；职责
atmosphere n.大气（层）；气氛
repertoire n.全部剧目；全部才能
goodbye int.再见，再会
sailor n.水手，海员
decorate v.装饰，装修；授予（某人）奖章
satisfactory adj.令人满意的
black adj.黑的；黑暗的；黑色人种的
quart n.夸脱（容量单位）
frequent adj.频繁的，经常发生的
loom v.隐约出现，逐渐逼近
presence n.出席，在场；存在
hesitate v.犹豫，迟疑；顾虑
contrary adj.对立的；相反的
ally v.与…结盟
isle n.小岛，岛
riot n.暴乱，骚乱；丰富多彩
immigrant n.移民，侨民
harassment n.骚扰；扰乱
postage n.邮费，邮资
console v.安慰；抚慰；慰藉
sportswoman n.女运动员
sweat n.汗水；出汗；繁重的工作；运动服
demonstrate v.证明；表露；示范；游行示威
saint n.圣人，圣徒
invite v.邀请；招致（尤指坏事）
toil n.苦干；艰辛的工作
ashore adv.在岸上，上岸
relativity n.相关（性）；相对论
origin n.起源；出身，身世
relevant adj.相关的，切题的；有意义的
skirt n.裙子；下摆
rail n.铁轨，铁路；栏杆，扶手
seldom adv.很少；难得
prisoner n.囚犯；俘虏；被…所困的人
seminar n.研讨会；研讨课
only adj.唯一的；独生的
sheet n.床单；薄片；一大片；一张（纸）
pendulum n.钟摆；（事态的）摇摆
form n.种类；形式；表格；形状
complicate v.使复杂化
tribe n.部落；族，群；一伙
accumulate v.积累；（数量）逐渐增加
economy n.经济（制度）；节约
rural adj.乡村的，农村的；有乡村特色的
vulnerable adj.易受伤害的；脆弱的；需要特别关心的
besides adv.况且，再说；此外，也
tan v.晒黑；鞣（革）
obstacle n.障碍（物）
subsequent adj.随后的；紧接的
classification n.分类；类别；门类
analysis n.分析（报告）
whole adj.全部的，整体的；完好无损的
pickup n.改善；接人，提货
adjective n.形容词
embody v.具象化；包含，收录
streamline v.使成流线型；使…效率更高
copyright n.版权
accompany v.陪伴；伴随；兼带；给…伴奏
climax n.最高点；高潮
upper adj.上面的；上部的；（职务，地位）较高的
focus v.集中，重视；对焦
sugar n.食用糖；糖分；亲爱的
pot n.锅，罐，瓶，壶
mask n.面具，面罩；伪装
endeavor v.努力，尽力
diabetes n.糖尿病；多尿症
accommodation n.住处，膳宿；和解
monitor n.班长；显示屏；监测器
specialist n.专家；专科医生
January n.一月
characterize v.以…为特征，描绘…的特性，刻画…的性格
south adj.南方的，向南的
metre n.米，公尺
lively adj.有活力的；繁忙兴旺的
undo v.解开；取消，消除（某事的影响）
initiate v.开始；传授，使了解；使加入
dear adj.宝贵的，珍视的；亲爱的
phrase n.短语；习语；乐句
peace n.和平；平静；和睦
carrier n.病菌携带者；运输工具，运输公司；航空母舰；通信公司
people n.人，人们；民族；平民
nose n.鼻子；前部；嗅觉
rose n.玫瑰花；玫瑰色
really adv.真正的；事实上
give v.给，提供；赠与；支付；举办
equation n.方程式，等式；等同看待；复杂局面
horizontal adj.水平的，横的
mention n.提及，说起
excess n.过量，过度，超过的部分；无节制
minimize v.使最小化；贬低
lend v.借出；贷款；增添特色；提供帮助
ozone n.臭氧
petrol n.汽油
peaceful adj.（爱好）和平的；宁静的
signal n.信号，暗号；指示；信号灯
goat n.山羊
decline v.减少，下降；衰退；婉拒
assault v.袭击；使（感官）难受
care n.照顾；谨慎；忧虑
shadow n.阴影，影子；少许
out adv.从…出来；在室外；不在；缺少；除掉
bathe v.洗澡；清洗；游泳；（光线）覆盖
enquire v.询问；打听
grow v.增强；成长；扩大；生长；逐渐变得
exhibit v.展览；显示出
razor n.剃刀
slide v.（使）滑行；（使）悄悄移动；（价格等）下跌；衰落成
paint n.油漆；（paints）绘画颜料
rule n.规章；规则；统治；定律
deficiency n.缺乏；缺点
swan n.天鹅
jargon n.行话，术语
favor n.帮助；恩惠；赞同，支持；偏袒
hypothesis n.假设；猜想
gentle adj.温柔的；温和的；柔和的；平缓的
cheap adj.便宜的；廉价的
his det.他的
violent adj.暴力的；强烈的；剧烈的
monotonous adj.单调乏味的，无变化的
public adj.大众的；政府的；公开的
obligation n.义务，责任；承诺
algorithm n.算法
ought to phrase.应该
underground adj.地下的；暗中的
seventy num.七十
tale n.故事，历险记；讲述
tide n.潮汐；潮流；浪潮
age n.年龄（段）；老年；时代
lord n.贵族；男爵；阁下；上帝
redundant adj.被裁减的；冗余的
congress n.代表大会；国会
well adv.好；非常；完全地
archive n.档案；档案室
variation n.变化；差异
psychology n.心理（学）；心理特征
arrange v.安排；筹划；整理；布置；改编（乐曲）
vessel n.船，舰；容器；血管
kin n.亲戚，家属
ceiling n.天花板，上限
discrete adj.分离的，互不相连的
bruise n.瘀伤；青肿；损伤
secondary adj.次要的；从属的；中学的
film n.电影（业）；影片；胶片；薄膜
coffee n.咖啡（豆），咖啡色
democratic adj.民主的
flush v.冲洗；冲走；脸红
carbon n.碳；二氧化碳
soak v.浸泡；使湿透；渗透
catalog n.（商品）目录
fossil n.化石；老古董
paradise n.天堂；乐园
coach n.教练；私人教师；长途客车
void adj.无效的；缺乏的；空空如也的
hemisphere n.（地球的）半球；大脑半球
memorandum n.备忘录
pepper n.胡椒粉；甜椒
import v.进口，引进；输入
restore v.使恢复原样；使复位；使复职；归还
repeat v.重做；重复发生；跟读；转述
four num.四
expression n.表达；表情；措辞
protocol n.礼节；协议
masculine adj.具有男子气质的；阳性的
present adj.目前的；出席的；存在的
china n.瓷料；瓷器；（China）中国
dirty adj.肮脏的；下流的
selection n.选择，挑选；被挑选的人（或物）
following adj.接着的；下列的
cover n.覆盖物；封面；掩护；植被覆盖
hall n.门厅；大厅，礼堂
hang v.悬挂；垂落；绞死；悬浮
myself pron.我自己
requirement n.必要条件；必需品；要求
inspiration n.鼓舞；灵感；启发灵感；鼓舞人心（的人或物）
cohesive adj.团结的，有凝聚力的；使凝聚的
ability n.才能，技能，能力
queer adj.异常的；非异性恋的
red adj.红色的
whenever adv.无论何时
forthcoming adj.即将到来的；现有的
knife n.刀
linen n.亚麻（制品）
glacier n.冰川
remain v.仍然是；剩余；逗留；仍需去做
arise v.出现，发生；产生；由…引起
obstruct v.阻挡，阻塞；（故意）妨碍
eighteen num.十八
fog n.雾，烟雾；迷惘
father n.父亲；祖先；创始人；上帝；神父
plumber n.管道工
animal adj.动物的
saddle n.马鞍；车座；脊肉
August n.八月
complain v.抱怨；诉说（病痛）
billion n.十亿；数以十亿计，大量
militant adj.好战的；激进的
unless conj.除非；如果不，若非
attach v.固定，系牢；附上；重视；归属于…
commit v.投入；承诺；犯（错，罪）
sleeve n.袖子
window n.窗户；橱窗；窗口
taxi n.出租车
desert v.抛弃（某人）；舍弃（某地）；擅离（部队）
idiot n.蠢货，白痴
fifteen num.十五
funeral n.葬礼
coronavirus n.冠状病毒
retrieve v.取回，找回；挽回；检索（信息）
kilo n.千克；公斤
susceptible adj.敏感的；易受影响的；易受伤害的
perfect adj.完美的；完全的
behavior n.行为，举止；反应行为，习惯
upright adj.挺直的；直立的；正直的
diagnose v.诊断
anniversary n.周年纪念日
thoughtful adj.沉思的；体贴的；经缜密思考的
incredible adj.难以置信的；极好的
conclusion n.结论；总结；缔结
fairly adv.相当地；公正地
lemon n.柠檬；浅黄色
disable v.使残废；使失效
cape n.斗篷，披肩；海角，岬
want v.想，想要；需要；缺乏
tower n.塔；塔楼；发射塔
surgery n.外科；手术；手术室；应诊时间
outline n.提纲；略图；轮廓
parliament n.议会，国会
upon prep.在…之上；一…就；…又…；
leading adj.最重要的；领先的；担任主要角色的
wallet n.钱包
reliable adj.可信赖的；真实可靠的
stir v.搅动；煽动；（使）开始活跃；引起；激发（想象力）
moreover adv.此外；而且
value n.价值；价值观；划算程度；用途
shore n.海岸，河岸，湖滨；沿海国家
cock n.公鸡
association n.联合；关联；联想；协会
tender adj.温柔的，亲切的；（食物）嫩的
my pron.我的
quite adv.很，相当，完全
bolster v.增强；改善
stiff adj.（肌肉）僵硬的；稠的；激烈的，严重的
faculty n.天赋；能力；全体教员；院系
being n.存在；生物；天性
petroleum n.石油
inside adj.内部的；从内部了解到的
petition n.请愿书；祈求
sponge n.海绵
defence n.防御；保护；辩解
release v.释放；发表；松开；发泄（情感）
hence adv.因此，由此；此后
sum n.总数，金额；算术
nickel n.镍；（美国和加拿大的）5分硬币
thrust v.猛推，挤；刺，戳
yourself pron.你自己
athlete n.运动员；擅长运动的人
accident n.意外，（交通）事故；偶然的事
flourish v.繁荣，兴旺；茁壮成长；挥舞
ferry n.渡船；摆渡
salary n.薪水
notion n.概念；观点；看法
Latin adj.拉丁语的；拉丁语系国家的
prepare v.使做好准备；调配（药品等）；预备（饭菜）
sail n.帆；航行
approve v.赞成；批准；认可
mystery n.迷；神秘的事物；疑案小说（或电影、戏剧）
cabinet n.橱柜；内阁
deter v.阻止，制止；威慑
encounter v.遭遇；邂逅
grab v.抓住；匆忙地拿（做，吃等）；强夺
collapse v.坍塌；昏倒；突然失败；崩溃；暴跌；折叠
aid n.帮助；援助（物资）
clumsy adj.笨拙的；不得体的；毫无技巧的
their det.他们的，她们的，它们的
rectify v.纠正；整顿
plunge v.纵身投入；跳入；猛跌；开始（说话或行动）
bond n.（情感的）纽带；债券；保释金
corrupt adj.腐败的；不道德的；有缺陷的
sore adj.酸痛的；恼怒的
legal adj.合法的，法定的；法律的
normal adj.正常的；意识健全的
identification n.辨认；确认；身份证明
route n.道路；路线；途径
thanksgiving n.感恩节
weary adj.疲劳的；令人厌烦的
vase n.花瓶
thigh n.大腿
prefer v.更喜欢；偏好
adjacent adj.毗连的，邻近的
democracy n.民主
adore v.爱慕；喜爱
song n.歌曲；歌唱；（鸟的）鸣啭
qualification n.资格（证）；先决条件；取得资格
fiscal adj.财政的；国库的；财政年度的
lion n.狮子
carry v.携带，拿，提，搬；输送；传播；承担；带有；具有（某种品质）
able adj.能够；有才能的
comet n.彗星
soldier n.军人；士兵
box n.盒子，箱子；包厢；岗亭；方框
injury n.受伤；受害；损害
brown adj.棕色的；褐色的；晒黑的
substitute n.代替者；代替物
acre n.英亩
ache n.疼痛
furniture n.家具
retreat v.撤退；消退；改变主意，退缩；隐退
zip n.拉链
feel linkv.觉得，感到；摸起来；认为
benefit n.好处；津贴；福利；慈善活动
domestic adj.家用的，家庭的；国内的
oval adj.椭圆形的
shirt n.（尤指男式的）衬衫
lick v.舔；舔着吃；（火焰）掠过
yesterday adv.在昨天
application n.申请（书）；应用；应用软件
minus prep.减去；零下
devote v.致力，献身，用于
peel v.剥去；脱落；脱皮
turkey n.火鸡（肉）；土耳其
scream v.尖叫；高声喊；呼啸而过
clip v.修剪；夹住；碰撞；剪下
buffer n.缓冲物；缓存
refresh v.恢复精力；使重新想起；刷新
consider v.认为；体谅；考虑；端详
wage n.工资
northeast adj.东北部的；向东北的
infinite adj.无限的，无穷的；极大的
jug n.壶；罐；一罐（的量）
slope n.坡地，斜坡；山坡；坡度
brace v.使作准备；绷紧（肌肉）；（使身体）顶住；加强
fridge n.冰箱
wool n.（羊等的）绒，毛；毛线
about adj.即将…的
beach n.海滩，海滨
tune v.调音；调频；调整
practitioner n.从业者；实践者
quest n.（长久或辛勤的）寻求
marble n.大理石；弹珠（游戏）
cash n.现金，钱
fruit n.水果；结果，成果
mouse n.老鼠；鼠标
cooperative adj.合作的，配合的，有共同利益的
breath n.呼吸；气息；微量
thirteen num.十三
construct v.建造；建立；构成；绘制
drawback n.缺点，不利条件
cartoon n.动画片；漫画
trade n.贸易；行业；手艺
gadget n.小器具，小装置
editorial adj.编辑的；主笔的；编者的
necessitate v.迫使，成为必要
testify v.（尤指出庭）作证；证明
gain n.增加；利益，好处；利润
statement n.陈述；声明；表态；报表
repression n.镇压；压抑，抑制
steam n.蒸气（动力）
speech n.演说；说话能力；口语
control n.控制（权）；限制；操纵装置；对照标准
with prep.和…一起；具有；用，以
blame v.把…归咎于，责怪
shower n.阵雨；淋浴（室）
resemble v.看起来像；与…相似
sack n.麻袋；一大袋东西；开除
vertical adj.垂直的；纵向的
leadership n.领导（集团）；领导（才能）
board n.（木、塑料等）板；布告牌；董事会；膳食
choose v.选择
reel n.一卷胶卷（或金属丝、线等）；卷筒；卷轴
hardware n.硬件；五金制品；设备
lunch n.午餐
staircase n.楼梯
pronunciation n.发音
hole n.孔；洞；裂口；洞穴；漏洞
nothing pron.没有什么；无关紧要的事
pavement n.人行道；路面
importance n.重要性，重大
coil v.（使）缠绕，盘绕
mailman n.邮递员
centimetre n.厘米，公分
clasp n.搭扣；紧握，紧抱
crew n.全体工作人员；专业团队
pave v.铺砌；铺路
monkey n.猴子；淘气包
renovate v.修复，翻新
oppress v.压迫，使压抑
quiver n.哆嗦，微颤；箭筒
routine n.惯例；常规；例行公事
neck n.颈，脖子；领子
may mod. v.也许；可以；但愿
drain v.（使）流走，排空；喝光；使耗尽
humiliate v.使蒙羞，使丢脸
shape n.形状；模糊的影子；状况
notice n.注意，通知，布告
diminish v.减少，缩减；贬低，轻视
believe v.相信；认为；信仰
kettle n.水壶
overhear v.偶然听到，无意中听到
mortal adj.终将死亡的；致命的；极端的
painter n.画家，油漆匠
furthermore adv.而且，此外
pursue v.追求；追究；追赶；继续调查；从事
intrude v.侵入，闯入；扰乱，侵扰
bride n.新娘
persecute v.迫害；残害；骚扰；纠缠
incorporate v.包含，合并；（公司）注册成立
pea n.豌豆
mosquito n.蚊子
coat n.外套；动物皮毛；涂层，覆盖层
qualitative adj.定性的；性质的
illuminate v.照亮；阐明
path n.小径；道路；成功的途径
jewel n.宝石，珠宝首饰
independence n.独立，自立
broad adj.宽阔的；广阔的；广泛的
multitude n.众多，大量；群众
nineteen num.十九
soccer n.足球
cap v.用…覆盖顶部；限额收取；胜过
imperial adj.帝国的，帝王的；英制的
endorse v.公开支持；代言；签名
flu n.流行性感冒
then adv.当时，到那时；然后；那么
spread v.展开；张开；传播；蔓延；涂抹；分摊
ash n.灰，灰烬；废墟；白蜡树；骨灰
convert v.（使）改变，（使）转化；换算
millimeter n.毫米
booth n.小隔间；临时货摊
vocabulary n.词汇；词汇量；词汇表
ashamed adj.羞耻的，惭愧的
resistance n.反抗；抵制；抵抗力；阻力
once adv.一次；曾经；根本
motive n.动机，缘由
diplomatic adj.外交的；老练的，圆滑的
locality n.地区；位置
sad adj.悲哀的；让人难过的
permit v.批准，许可；允许，使有可能
man n.男人；人
camp n.营地；阵营；度假营
passage n.通道；章节；（时间）流逝；（议案）通过
worry n.担心；令人担忧的事
custody n.监护权；拘留
clothe v.（给…）穿衣；为…提供衣物
ink n.墨水；墨汁
pound n.英镑（货币单位）；磅（重量单位）
slip v.滑倒；滑落；溜走；迅速放置；偷偷塞；变差；陷入困境
elder adj.年纪较长的
beware v.当心；谨防；提防
hill n.小山，斜坡
semiconductor n.半导体
levy n.税款
relax v.放松，休息；（使）冷静；松开；放宽（限制等）
scare v.使受惊吓；使害怕
hitherto adv.到目前为止；迄今
metaphor n.隐喻，暗喻
smoke n.烟；吸烟
whoever pron.任何人；无论谁；究竟是谁
lid n.盖子；眼睑
shatter v.（使）破碎；（使信念等）破灭；给予极大打击
skeleton n.骨骼；框架
pride n.自豪（感）；自尊（心）；傲慢
section n.部分；部门；部件；章节；阶层
analyse v.分析；化验
fiction n.小说；虚构的事，谎言
fiber n.纤维；纤维素
humanity n.人类；人性；人文学科
manual adj.手工的，体力的；手动的
notable adj.值得注意的；显著的；重要的
page n.页；页面
novelty n.新颖；新奇的事物（或人），小饰物
danger n.危险；（发生坏事的）可能性；危险因素
blueprint n.蓝图；行动方案；（生物细胞的）模板
serial adj.连续多次的；连载的；顺序排列的
persuade v.说服，劝说，使信服
loose adj.松动的；未固定的；宽松的；零散的；不严密的
hat n.帽子；职位
ounce n.盎司；少量
oftentimes adv.时常，经常
superior adj.更好的，占优势的；优质的；上级的
lump n.肿块；隆起；笨重的人
ten num.十
opening n.孔洞；开端；开幕式；开放；职位空缺
hygiene n.卫生
merchandise v.推销；（运用广告等）销售
orchestra n.管弦乐队；（剧院中）靠近舞台的座位
port n.港口（城市）；计算机端口
strife n.冲突；麻烦；纠纷
damage n.损坏；伤害；赔偿金
environment n.环境，条件
headache n.头痛；令人头痛的人（或事物）
thereby adv.因此，从而
vocation n.工作，职业；使命感
aftermath n.后果，余波
rape v.强奸；肆意破坏
plea n.恳求；抗辩；借口
product n.产品；产物
wholly adv.完全地，一概
distort v.扭曲；使变形；曲解
architecture n.建筑学；建筑风格；体系结构
pant v.气喘，喘息
alternative adj.可供替代的；非传统的，另类的
superficial adj.肤浅的；表面的
video n.录像，视频
fatal adj.致命的；灾难性的
pad n.衬垫；便笺簿；爪垫；发射台
heel n.脚后跟；鞋跟；高跟鞋
relation n.关联，关系；亲戚
champagne n.香槟
praise n.赞扬，称赞；（对上帝的）颂扬
prosper v.兴旺；发达
dwell v.居住；细想
perpetual adj.不间断的；没完没了的；永久的
more det.更多的，更大的
stimulate v.促使；激发；激励；刺激
pie n.馅饼
drag v.拖拽；缓慢而费力地移动；拖延
conscious adj.意识到的；自觉的；有意的；清醒的；感到的
thermometer n.温度计
shame n.羞耻；羞愧；羞耻心；遗憾的事
freedom n.自由；不受…影响
redeem v.弥补；救赎；兑换；赎回
oneself pron.自己，自身
botany n.植物学
tiger n.老虎
pack v.收拾行李；打包；挤满
preface n.引言；前言；序
million n.百万；大量，许多
jump n.跳跃；激增
discipline n.纪律；训练方法；自制力；学科
brand n.品牌，商标；类型；烙印
catastrophe n.灾难，大祸
quantitative adj.数量的；定量的；量化的
for prep.对；关于；为了；代表；支持；由于；就…而言；去，到
herald v.是（某事）的前兆；宣布（好或重要的事）
wealthy adj.富有的
drown v.（使）淹没，溺死；（声音）盖过
horsepower n.马力
barrel n.桶；一桶（的量）；枪管
engineering n.工程（学）
egg n.鸡蛋；卵子；卵状物
punish v.惩罚；处罚；惩处
threat n.威胁；凶兆
for prep.对；关于；为了；代表；支持；由于；就…而言；去，到
herald v.是（某事）的前兆；宣布（好或重要的事）
wealthy adj.富有的
drown v.（使）淹没，溺死；（声音）盖过
horsepower n.马力
barrel n.桶；一桶（的量）；枪管
engineering n.工程（学）
egg n.鸡蛋；卵子；卵状物
punish v.惩罚；处罚；惩处
threat n.威胁；凶兆
install v.安装；使就职；安置
resist v.抵抗，抵制；抵御…诱惑；使不受…伤害
test n.测验；考查；化验；考验
tank n.罐，箱；坦克
merry adj.愉快的，欢乐的
lawsuit n.诉讼
halt v.（使）停止；（口令）立定
inventory n.库存；（商品等的）清单
sign n.迹象，征兆；标志；手势；记号；星座
archaeology n.考古学
